paragraph,reference,caption_in_unchanged_esi,manuscript_text
34,Figure S12,"Figure S12. Council architecture, model-matrix sensitivity, and candidate-budget analysis for the isoxazole 1,3-dipolar cycloaddition test reaction. (a) Upstream pipeline and council workflow. (b) Pre- and post-council normalized engineering radar profiles; thin traces show five repeats. (c) Runtime and token use across the 4 x 4 upstream-council matrix. (d) Final reactor volume and tubing internal diameter relative to the manuscript operating region. (e) Design-family counts across candidate budgets B = 1, 6, 12, and 24. (f) Revision and disqualification activity across those budgets. Complete numerical values and metric definitions are provided in Tables S18-S21.","The earlier council model-matrix and candidate-budget experiment is reported separately in Figure S12 and Tables S18-S21. In the five-repeat comparison, the normalized radar-area score changed from 0.31 +/- 0.03 before council review to 0.48 +/- 0.23 afterward. This engineering-profile measure is not the multi-LLM benchmark score in Figure 4. The ESI defines Need revision, New versions, Combined pool, and Disqualified, and reports runtime, token use, geometry, and radar normalization. Figure S13 and Table S22 distinguish the final structured FlowPilot topology from its contemporaneous generated narrative; the complete one-shot response is retained alongside this worked example."
34,Table S18,"Table S18. Runtime, token use, reactor volume, tubing internal diameter, and validation outcome for the 4 x 4 upstream-council model matrix.","The earlier council model-matrix and candidate-budget experiment is reported separately in Figure S12 and Tables S18-S21. In the five-repeat comparison, the normalized radar-area score changed from 0.31 +/- 0.03 before council review to 0.48 +/- 0.23 afterward. This engineering-profile measure is not the multi-LLM benchmark score in Figure 4. The ESI defines Need revision, New versions, Combined pool, and Disqualified, and reports runtime, token use, geometry, and radar normalization. Figure S13 and Table S22 distinguish the final structured FlowPilot topology from its contemporaneous generated narrative; the complete one-shot response is retained alongside this worked example."
34,Table S19,"Table S19. Design-family counts and council revision activity by candidate budget, mean +/- sample SD where repeated (n = 5).","The earlier council model-matrix and candidate-budget experiment is reported separately in Figure S12 and Tables S18-S21. In the five-repeat comparison, the normalized radar-area score changed from 0.31 +/- 0.03 before council review to 0.48 +/- 0.23 afterward. This engineering-profile measure is not the multi-LLM benchmark score in Figure 4. The ESI defines Need revision, New versions, Combined pool, and Disqualified, and reports runtime, token use, geometry, and radar normalization. Figure S13 and Table S22 distinguish the final structured FlowPilot topology from its contemporaneous generated narrative; the complete one-shot response is retained alongside this worked example."
34,Table S20,"Table S20. Five-repeat normalized radar metrics before and after council review, mean +/- sample SD (n = 5).","The earlier council model-matrix and candidate-budget experiment is reported separately in Figure S12 and Tables S18-S21. In the five-repeat comparison, the normalized radar-area score changed from 0.31 +/- 0.03 before council review to 0.48 +/- 0.23 afterward. This engineering-profile measure is not the multi-LLM benchmark score in Figure 4. The ESI defines Need revision, New versions, Combined pool, and Disqualified, and reports runtime, token use, geometry, and radar normalization. Figure S13 and Table S22 distinguish the final structured FlowPilot topology from its contemporaneous generated narrative; the complete one-shot response is retained alongside this worked example."
34,Table S21,Table S21. Radar metric definitions and transformations used for the council analysis.,"The earlier council model-matrix and candidate-budget experiment is reported separately in Figure S12 and Tables S18-S21. In the five-repeat comparison, the normalized radar-area score changed from 0.31 +/- 0.03 before council review to 0.48 +/- 0.23 afterward. This engineering-profile measure is not the multi-LLM benchmark score in Figure 4. The ESI defines Need revision, New versions, Combined pool, and Disqualified, and reports runtime, token use, geometry, and radar normalization. Figure S13 and Table S22 distinguish the final structured FlowPilot topology from its contemporaneous generated narrative; the complete one-shot response is retained alongside this worked example."
34,Figure S13,"Figure S13. Archived inventory-assigned topology for the Claude Opus 4.6 FlowPilot photochemical-oxidation run, repeat 01. The diagram represents the final structured design, not the unreconciled LLM narrative reproduced below. Its 1.0 mL reactor, 0.12427 mL/min liquid flow and 1.856819 mL/min air feed at inlet/STP correspond to a nominal V_R/Q_L time of 8.046994 min and 1.4 oxygen equivalents. This nominal time is not a measured liquid contact time. The recorded disposition is SCREEN, not experimentally validated execution. The exact one-shot response is preserved in the following subsection and the companion files.","The earlier council model-matrix and candidate-budget experiment is reported separately in Figure S12 and Tables S18-S21. In the five-repeat comparison, the normalized radar-area score changed from 0.31 +/- 0.03 before council review to 0.48 +/- 0.23 afterward. This engineering-profile measure is not the multi-LLM benchmark score in Figure 4. The ESI defines Need revision, New versions, Combined pool, and Disqualified, and reports runtime, token use, geometry, and radar normalization. Figure S13 and Table S22 distinguish the final structured FlowPilot topology from its contemporaneous generated narrative; the complete one-shot response is retained alongside this worked example."
34,Table S22,Table S22. Final structured parameters and contemporaneous generated narrative for the same archived FlowPilot run.,"The earlier council model-matrix and candidate-budget experiment is reported separately in Figure S12 and Tables S18-S21. In the five-repeat comparison, the normalized radar-area score changed from 0.31 +/- 0.03 before council review to 0.48 +/- 0.23 afterward. This engineering-profile measure is not the multi-LLM benchmark score in Figure 4. The ESI defines Need revision, New versions, Combined pool, and Disqualified, and reports runtime, token use, geometry, and radar normalization. Figure S13 and Table S22 distinguish the final structured FlowPilot topology from its contemporaneous generated narrative; the complete one-shot response is retained alongside this worked example."
35,Figure S14,"Figure S14. Actual FlowPilot interface: (a) entry of the complete two-stage batch protocol before analysis; (b) the completion state after saving the required answers. The panels are different moments in the same live intake demonstration. LLM-assisted extraction was disabled. Frozen means that the answered input package is ready for submission, not that a chemical design or yield has been validated. Full-screen originals are retained alongside these interface crops.","The operational examples connect these evaluations to the chemist-facing workflow. Figures S14-S15 and Table S23 show batch input and fixed-ID follow-up questions; Figure S16 and Table S24 show inventory import, normalization, and remaining equipment warnings. Figure S17 and Table S25 show stage-resolved topology and stream parameters from a reopened run. Table S26 provides concrete one-shot and FlowPilot issues, including an evaluator false positive. Figure S18 and Table S27 retain actual council disagreement and selection records, while Figure S19 and Table S28 place these views in the full GUI and saved-run context. These examples document human interaction and provenance rather than additional wet-lab outcomes."
35,Figure S15,"Figure S15. Actual follow-up question panel with stable IDs, question-bank version, question-set hash and entered answers. The visible examples concern objective and chemistry identity; other questions remain within the scrollable panel. Scrollbars and partially visible textarea contents are native interface behavior, not edited text. Complete input and answer records accompany the ESI. Three identical deterministic intake requests produced the same pending IDs and hash.","The operational examples connect these evaluations to the chemist-facing workflow. Figures S14-S15 and Table S23 show batch input and fixed-ID follow-up questions; Figure S16 and Table S24 show inventory import, normalization, and remaining equipment warnings. Figure S17 and Table S25 show stage-resolved topology and stream parameters from a reopened run. Table S26 provides concrete one-shot and FlowPilot issues, including an evaluator false positive. Figure S18 and Table S27 retain actual council disagreement and selection records, while Figure S19 and Table S28 place these views in the full GUI and saved-run context. These examples document human interaction and provenance rather than additional wet-lab outcomes."
35,Table S23,Table S23. Observed GUI steps and the records that preserve them.,"The operational examples connect these evaluations to the chemist-facing workflow. Figures S14-S15 and Table S23 show batch input and fixed-ID follow-up questions; Figure S16 and Table S24 show inventory import, normalization, and remaining equipment warnings. Figure S17 and Table S25 show stage-resolved topology and stream parameters from a reopened run. Table S26 provides concrete one-shot and FlowPilot issues, including an evaluator false positive. Figure S18 and Table S27 retain actual council disagreement and selection records, while Figure S19 and Table S28 place these views in the full GUI and saved-run context. These examples document human interaction and provenance rather than additional wet-lab outcomes."
35,Figure S16,"Figure S16. Inventory workspace, panel (a): actual upload controls and the separate field for additional equipment or constraints. The KHU JSON file is selected here. This capture shows available controls, not evidence that every supported document format has been validated. The structured JSON-validation result is shown on the following page.","The operational examples connect these evaluations to the chemist-facing workflow. Figures S14-S15 and Table S23 show batch input and fixed-ID follow-up questions; Figure S16 and Table S24 show inventory import, normalization, and remaining equipment warnings. Figure S17 and Table S25 show stage-resolved topology and stream parameters from a reopened run. Table S26 provides concrete one-shot and FlowPilot issues, including an evaluator false positive. Figure S18 and Table S27 retain actual council disagreement and selection records, while Figure S19 and Table S28 place these views in the full GUI and saved-run context. These examples document human interaction and provenance rather than additional wet-lab outcomes."
35,Table S24,Table S24. Examples of the KHU version-4 inventory data and their interpretation.,"The operational examples connect these evaluations to the chemist-facing workflow. Figures S14-S15 and Table S23 show batch input and fixed-ID follow-up questions; Figure S16 and Table S24 show inventory import, normalization, and remaining equipment warnings. Figure S17 and Table S25 show stage-resolved topology and stream parameters from a reopened run. Table S26 provides concrete one-shot and FlowPilot issues, including an evaluator false positive. Figure S18 and Table S27 retain actual council disagreement and selection records, while Figure S19 and Table S28 place these views in the full GUI and saved-run context. These examples document human interaction and provenance rather than additional wet-lab outcomes."
35,Figure S17,"Figure S17. Actual archived-run output: (a) icon-based topology with equipment names and stage-specific values; (b) the process-summary table, including the interstage feed and cumulative Stage 2 flow. These two tabs show the same reopened result. Numerical values are also transcribed in Table S25. The generic T-mixer remains a disclosed verification requirement. The screenshot is a software screening output, not a wet-lab validated protocol. Full-resolution interface captures and original graph files accompany the ESI.","The operational examples connect these evaluations to the chemist-facing workflow. Figures S14-S15 and Table S23 show batch input and fixed-ID follow-up questions; Figure S16 and Table S24 show inventory import, normalization, and remaining equipment warnings. Figure S17 and Table S25 show stage-resolved topology and stream parameters from a reopened run. Table S26 provides concrete one-shot and FlowPilot issues, including an evaluator false positive. Figure S18 and Table S27 retain actual council disagreement and selection records, while Figure S19 and Table S28 place these views in the full GUI and saved-run context. These examples document human interaction and provenance rather than additional wet-lab outcomes."
35,Table S25,Table S25. Archived DPDTC screening parameters shown by the GUI; not a validated synthesis procedure.,"The operational examples connect these evaluations to the chemist-facing workflow. Figures S14-S15 and Table S23 show batch input and fixed-ID follow-up questions; Figure S16 and Table S24 show inventory import, normalization, and remaining equipment warnings. Figure S17 and Table S25 show stage-resolved topology and stream parameters from a reopened run. Table S26 provides concrete one-shot and FlowPilot issues, including an evaluator false positive. Figure S18 and Table S27 retain actual council disagreement and selection records, while Figure S19 and Table S28 place these views in the full GUI and saved-run context. These examples document human interaction and provenance rather than additional wet-lab outcomes."
35,Table S26,Table S26. Concrete archived issues and one checked evaluator false positive.,"The operational examples connect these evaluations to the chemist-facing workflow. Figures S14-S15 and Table S23 show batch input and fixed-ID follow-up questions; Figure S16 and Table S24 show inventory import, normalization, and remaining equipment warnings. Figure S17 and Table S25 show stage-resolved topology and stream parameters from a reopened run. Table S26 provides concrete one-shot and FlowPilot issues, including an evaluator false positive. Figure S18 and Table S27 retain actual council disagreement and selection records, while Figure S19 and Table S28 place these views in the full GUI and saved-run context. These examples document human interaction and provenance rather than additional wet-lab outcomes."
35,Figure S18,"Figure S18. Actual Council tab with expandable domain, Skeptic and Chief records. WARNING states are retained. Display rounds organize the recorded contributions and are not evidence of independent physical validation or two full optimization cycles. Exact source excerpts and the complete machine-readable discussion accompany Table S27.","The operational examples connect these evaluations to the chemist-facing workflow. Figures S14-S15 and Table S23 show batch input and fixed-ID follow-up questions; Figure S16 and Table S24 show inventory import, normalization, and remaining equipment warnings. Figure S17 and Table S25 show stage-resolved topology and stream parameters from a reopened run. Table S26 provides concrete one-shot and FlowPilot issues, including an evaluator false positive. Figure S18 and Table S27 retain actual council disagreement and selection records, while Figure S19 and Table S28 place these views in the full GUI and saved-run context. These examples document human interaction and provenance rather than additional wet-lab outcomes."
35,Table S27,"Table S27. Exact archived council excerpts; statements are model assessments, not endorsed chemical facts.","The operational examples connect these evaluations to the chemist-facing workflow. Figures S14-S15 and Table S23 show batch input and fixed-ID follow-up questions; Figure S16 and Table S24 show inventory import, normalization, and remaining equipment warnings. Figure S17 and Table S25 show stage-resolved topology and stream parameters from a reopened run. Table S26 provides concrete one-shot and FlowPilot issues, including an evaluator false positive. Figure S18 and Table S27 retain actual council disagreement and selection records, while Figure S19 and Table S28 place these views in the full GUI and saved-run context. These examples document human interaction and provenance rather than additional wet-lab outcomes."
35,Figure S19,"Figure S19. Full application screenshot for the reopened DPDTC run. The sidebar exposes the input, inventory and archived-run workspaces, while the header identifies the build and run. The result retains LOW confidence and the equipment-verification warning despite showing a completed screening design. This image provides navigation context; detailed numerical values are in Table S25 and full-resolution screenshots in the evidence package.","The operational examples connect these evaluations to the chemist-facing workflow. Figures S14-S15 and Table S23 show batch input and fixed-ID follow-up questions; Figure S16 and Table S24 show inventory import, normalization, and remaining equipment warnings. Figure S17 and Table S25 show stage-resolved topology and stream parameters from a reopened run. Table S26 provides concrete one-shot and FlowPilot issues, including an evaluator false positive. Figure S18 and Table S27 retain actual council disagreement and selection records, while Figure S19 and Table S28 place these views in the full GUI and saved-run context. These examples document human interaction and provenance rather than additional wet-lab outcomes."
35,Table S28,Table S28. Companion records for the added operational examples.,"The operational examples connect these evaluations to the chemist-facing workflow. Figures S14-S15 and Table S23 show batch input and fixed-ID follow-up questions; Figure S16 and Table S24 show inventory import, normalization, and remaining equipment warnings. Figure S17 and Table S25 show stage-resolved topology and stream parameters from a reopened run. Table S26 provides concrete one-shot and FlowPilot issues, including an evaluator false positive. Figure S18 and Table S27 retain actual council disagreement and selection records, while Figure S19 and Table S28 place these views in the full GUI and saved-run context. These examples document human interaction and provenance rather than additional wet-lab outcomes."
47,Table S22,Table S22. Final structured parameters and contemporaneous generated narrative for the same archived FlowPilot run.,"The engineering calculator derives dependent quantities from a common set of inputs, and candidate revisions trigger recalculation before publication. This reduces opportunities for a narrative recommendation to contradict its own volume, flow, and time relationships. Council review adds cross-domain scrutiny, but neither calculation nor deliberation guarantees correct input assumptions. The examples in Tables S22 and S26 make this distinction concrete: a structured result can differ from an accompanying generated narrative, and a judge can misidentify an error. Traceable final parameters and inspectable review records therefore matter as much as a favorable aggregate score."
47,Table S26,Table S26. Concrete archived issues and one checked evaluator false positive.,"The engineering calculator derives dependent quantities from a common set of inputs, and candidate revisions trigger recalculation before publication. This reduces opportunities for a narrative recommendation to contradict its own volume, flow, and time relationships. Council review adds cross-domain scrutiny, but neither calculation nor deliberation guarantees correct input assumptions. The examples in Tables S22 and S26 make this distinction concrete: a structured result can differ from an accompanying generated narrative, and a judge can misidentify an error. Traceable final parameters and inspectable review records therefore matter as much as a favorable aggregate score."
51,Table S10,"Table S10. All 15 internal module-ablation conditions. Means and sample SDs summarize three chemistry cases with one generation per condition-case cell; they are not repeatability estimates. Exec. rate denotes the archived executable-outcome fraction, not experimentally validated success.","The matched architecture comparison provides evidence of higher mean scores with FlowPilot for each of the five retained generators, with the size of the improvement depending on the model (Figure 4b). The internal Qwen3.8-27B screen provides a complementary comparison: removing the council lowered the mean score from 0.928 to 0.670 across the three cases (Figure 4d; Table S10). Individual specialist removals produced smaller differences. Because each internal condition-case cell was generated only once, these results support descriptive component analysis rather than a statistically powered claim that every specialist is necessary or that the full configuration is always optimal."
52,Figure S12,"Figure S12. Council architecture, model-matrix sensitivity, and candidate-budget analysis for the isoxazole 1,3-dipolar cycloaddition test reaction. (a) Upstream pipeline and council workflow. (b) Pre- and post-council normalized engineering radar profiles; thin traces show five repeats. (c) Runtime and token use across the 4 x 4 upstream-council matrix. (d) Final reactor volume and tubing internal diameter relative to the manuscript operating region. (e) Design-family counts across candidate budgets B = 1, 6, 12, and 24. (f) Revision and disqualification activity across those budgets. Complete numerical values and metric definitions are provided in Tables S18-S21.","The earlier model-matrix and candidate-budget experiments reveal additional configuration sensitivity (Figure S12). Some model combinations completed only a screening pathway rather than the validated pathway; all Gemma-upstream and GPT-4o-mini-upstream entries in Table S18 are marked screen required. Increasing the candidate budget broadened the explored design families and revision activity without producing monotonically better outcomes (Tables S19-S21). These observations qualify the role of the council: it can revise and compare proposals, but cannot be assumed to rescue every weak upstream result. They also distinguish historical development experiments from the matched model comparison in Figure 4."
52,Table S18,"Table S18. Runtime, token use, reactor volume, tubing internal diameter, and validation outcome for the 4 x 4 upstream-council model matrix.","The earlier model-matrix and candidate-budget experiments reveal additional configuration sensitivity (Figure S12). Some model combinations completed only a screening pathway rather than the validated pathway; all Gemma-upstream and GPT-4o-mini-upstream entries in Table S18 are marked screen required. Increasing the candidate budget broadened the explored design families and revision activity without producing monotonically better outcomes (Tables S19-S21). These observations qualify the role of the council: it can revise and compare proposals, but cannot be assumed to rescue every weak upstream result. They also distinguish historical development experiments from the matched model comparison in Figure 4."
52,Table S19,"Table S19. Design-family counts and council revision activity by candidate budget, mean +/- sample SD where repeated (n = 5).","The earlier model-matrix and candidate-budget experiments reveal additional configuration sensitivity (Figure S12). Some model combinations completed only a screening pathway rather than the validated pathway; all Gemma-upstream and GPT-4o-mini-upstream entries in Table S18 are marked screen required. Increasing the candidate budget broadened the explored design families and revision activity without producing monotonically better outcomes (Tables S19-S21). These observations qualify the role of the council: it can revise and compare proposals, but cannot be assumed to rescue every weak upstream result. They also distinguish historical development experiments from the matched model comparison in Figure 4."
52,Table S20,"Table S20. Five-repeat normalized radar metrics before and after council review, mean +/- sample SD (n = 5).","The earlier model-matrix and candidate-budget experiments reveal additional configuration sensitivity (Figure S12). Some model combinations completed only a screening pathway rather than the validated pathway; all Gemma-upstream and GPT-4o-mini-upstream entries in Table S18 are marked screen required. Increasing the candidate budget broadened the explored design families and revision activity without producing monotonically better outcomes (Tables S19-S21). These observations qualify the role of the council: it can revise and compare proposals, but cannot be assumed to rescue every weak upstream result. They also distinguish historical development experiments from the matched model comparison in Figure 4."
52,Table S21,Table S21. Radar metric definitions and transformations used for the council analysis.,"The earlier model-matrix and candidate-budget experiments reveal additional configuration sensitivity (Figure S12). Some model combinations completed only a screening pathway rather than the validated pathway; all Gemma-upstream and GPT-4o-mini-upstream entries in Table S18 are marked screen required. Increasing the candidate budget broadened the explored design families and revision activity without producing monotonically better outcomes (Tables S19-S21). These observations qualify the role of the council: it can revise and compare proposals, but cannot be assumed to rescue every weak upstream result. They also distinguish historical development experiments from the matched model comparison in Figure 4."
55,Table S13,"Table S13. Deterministic quantities, definitions, and closure checks.","Second, gas-flow and residence-time definitions require careful interpretation. Gas equivalents are calculated from inlet molar flow at a declared reference temperature and pressure, not from a gas-to-liquid volumetric ratio. The nominal inlet/STP time, calculated from reactor volume divided by the combined liquid and inlet/STP gas flows, is also not a measured in-channel contact time. Gas compression, dissolution, phase holdup, and slip can separate these quantities.45 The ESI retains the distinct time bases used by archived runs (Table S13); comparisons should use a common definition rather than silently relabeling old results."
58,Table S26,Table S26. Concrete archived issues and one checked evaluator false positive.,"Fifth, LLM-based evaluation remains fallible even with fixed criteria and deterministic evidence. Shared model families, incomplete source information, or differences in response presentation may affect judgments. Identity masking is not complete architectural blinding, and multiple critical flags can concern the same underlying defect. The checked false-positive example in Table S26 illustrates why these judgments should remain auditable. Excluding a source paper from retrieval also does not establish that it was absent from model pretraining."
67,Table S4,Table S4. Available literature-corpus fields and available denominators.,"A literature corpus containing 464 classified flow-chemistry records was annotated with available reaction, reactor, material, operating-condition, yield, and stream-count metadata. Field completeness was reported separately (Table S4). A complementary handbook-derived engineering knowledge base20,21,32 contained 2,537 rules categorized by topic and severity. The rule-base analysis describes coverage and recorded associations, while the deterministic calculator implements the numerical checks used during design."
71,Table S8,Table S8. Fixed 0-4 scoring anchors used by every independent judge.,"The matched architecture comparison used the same frozen case input and final-output contract for one-shot generation and FlowPilot. Five retained generator models, two architectures, three chemistry cases, and three generation repeats yielded 90 outcomes in the ESI cohort. Three judge families received identity-masked final designs, source context, deterministic verification evidence, and the fixed rubric in Tables S8-S9. Each applicable criterion was rated from 0 to 4; ratings were averaged across judges and criteria, then divided by four. Gas bookkeeping and multistage closure were omitted only when inapplicable. Per-model error bars summarize the sample SD of three repeat-level means, each averaging the three cases. Critical flags were recorded separately. Exact inputs, model records, applicability rules, and archived evaluation limitations are given in ESI Section 3."
71,Table S9,"Table S9. Complete frozen outcome questions, critical-error triggers and applicability rules. Gas use denotes a gas reagent or gas-liquid process; multi-stage denotes more than one reactive stage.","The matched architecture comparison used the same frozen case input and final-output contract for one-shot generation and FlowPilot. Five retained generator models, two architectures, three chemistry cases, and three generation repeats yielded 90 outcomes in the ESI cohort. Three judge families received identity-masked final designs, source context, deterministic verification evidence, and the fixed rubric in Tables S8-S9. Each applicable criterion was rated from 0 to 4; ratings were averaged across judges and criteria, then divided by four. Gas bookkeeping and multistage closure were omitted only when inapplicable. Per-model error bars summarize the sample SD of three repeat-level means, each averaging the three cases. Critical flags were recorded separately. Exact inputs, model records, applicability rules, and archived evaluation limitations are given in ESI Section 3."
72,Table S10,"Table S10. All 15 internal module-ablation conditions. Means and sample SDs summarize three chemistry cases with one generation per condition-case cell; they are not repeatability estimates. Exec. rate denotes the archived executable-outcome fraction, not experimentally validated success.","The internal module screen fixed the generator to Qwen3.8-27B and generated each condition-case combination once; its SD therefore measures variation between chemistries, not repeatability. Figure 4d shows selected conditions and Table S10 provides the displayed module summaries. The separate historical model-matrix experiment crossed four upstream and four council endpoints, and the candidate-budget study tested B = 1, 6, 12, and 24 with five repeats. Their validation dispositions, numerical data, and metric definitions are reported in ESI Section 6.1 and Tables S18-S21. These studies are kept distinct from the independent-judge outcome benchmark."
72,Table S18,"Table S18. Runtime, token use, reactor volume, tubing internal diameter, and validation outcome for the 4 x 4 upstream-council model matrix.","The internal module screen fixed the generator to Qwen3.8-27B and generated each condition-case combination once; its SD therefore measures variation between chemistries, not repeatability. Figure 4d shows selected conditions and Table S10 provides the displayed module summaries. The separate historical model-matrix experiment crossed four upstream and four council endpoints, and the candidate-budget study tested B = 1, 6, 12, and 24 with five repeats. Their validation dispositions, numerical data, and metric definitions are reported in ESI Section 6.1 and Tables S18-S21. These studies are kept distinct from the independent-judge outcome benchmark."
72,Table S19,"Table S19. Design-family counts and council revision activity by candidate budget, mean +/- sample SD where repeated (n = 5).","The internal module screen fixed the generator to Qwen3.8-27B and generated each condition-case combination once; its SD therefore measures variation between chemistries, not repeatability. Figure 4d shows selected conditions and Table S10 provides the displayed module summaries. The separate historical model-matrix experiment crossed four upstream and four council endpoints, and the candidate-budget study tested B = 1, 6, 12, and 24 with five repeats. Their validation dispositions, numerical data, and metric definitions are reported in ESI Section 6.1 and Tables S18-S21. These studies are kept distinct from the independent-judge outcome benchmark."
72,Table S20,"Table S20. Five-repeat normalized radar metrics before and after council review, mean +/- sample SD (n = 5).","The internal module screen fixed the generator to Qwen3.8-27B and generated each condition-case combination once; its SD therefore measures variation between chemistries, not repeatability. Figure 4d shows selected conditions and Table S10 provides the displayed module summaries. The separate historical model-matrix experiment crossed four upstream and four council endpoints, and the candidate-budget study tested B = 1, 6, 12, and 24 with five repeats. Their validation dispositions, numerical data, and metric definitions are reported in ESI Section 6.1 and Tables S18-S21. These studies are kept distinct from the independent-judge outcome benchmark."
72,Table S21,Table S21. Radar metric definitions and transformations used for the council analysis.,"The internal module screen fixed the generator to Qwen3.8-27B and generated each condition-case combination once; its SD therefore measures variation between chemistries, not repeatability. Figure 4d shows selected conditions and Table S10 provides the displayed module summaries. The separate historical model-matrix experiment crossed four upstream and four council endpoints, and the candidate-budget study tested B = 1, 6, 12, and 24 with five repeats. Their validation dispositions, numerical data, and metric definitions are reported in ESI Section 6.1 and Tables S18-S21. These studies are kept distinct from the independent-judge outcome benchmark."
